DeviceID,DateID,BrowserID,OsID,CategoryID,NUM_OF_ACCESS,BROWSER_NAME,CATEGORY_NAME,CalendarQuarter,CalendarYear,DateAltKey,DayName,DayOfMonth,DayOfWeek,MonthName,MonthOfYear,DEVICE_NAME,DEVICE_TYPE,SCREEN_RESOLUTION,OS_NAME
173578,15,2,1,34,2,Android,Du lịch,1,2014,2014-01-25,Saturday,25,7,January,1,Lenovo A369i,General_Mobile,480x800,Android
145838,15,2,1,34,7,Android,Du lịch,1,2014,2014-01-25,Saturday,25,7,January,1,LG-F100S,General_Mobile,768x1024,Android
178560,15,2,1,34,6,Android,Du lịch,1,2014,2014-01-25,Saturday,25,7,January,1,LG-F160,General_Mobile,720x1280,Android
87251,15,2,1,34,2,Android,Du lịch,1,2014,2014-01-25,Saturday,25,7,January,1,LG-F220K/10c,General_Mobile,1080x1920,Android
178566,15,2,1,34,1,Android,Du lịch,1,2014,2014-01-25,Saturday,25,7,January,1,LG-LU6200/V20e,General_Mobile,720x1280,Android
137449,15,2,1,34,3,Android,Du lịch,1,2014,2014-01-25,Saturday,25,7,January,1,ME371MG,General_Mobile,800x1280,Android
127549,15,2,1,34,1,Android,Du lịch,1,2014,2014-01-25,Saturday,25,7,January,1,Micromax A110,General_Mobile,480x854,Android
103607,15,2,1,34,1,Android,Du lịch,1,2014,2014-01-25,Saturday,25,7,January,1,mobiistar touch S31,General_Mobile,320x403,Android
130874,15,2,1,34,4,Android,Du lịch,1,2014,2014-01-25,Saturday,25,7,January,1,Q-Smart model S6,General_Mobile,533x295,Android
107298,15,2,1,34,1,Android,Du lịch,1,2014,2014-01-25,Saturday,25,7,January,1,Qmobile S13,General_Mobile,320x455,Android
156037,15,2,1,34,3,Android,Du lịch,1,2014,2014-01-25,Saturday,25,7,January,1,Qmobile-S11,General_Mobile,320x403,Android
161103,15,2,1,34,8,Android,Du lịch,1,2014,2014-01-25,Saturday,25,7,January,1,Revo_Max_2013,General_Mobile,540x960,Android
103667,15,2,1,34,4,Android,Du lịch,1,2014,2014-01-25,Saturday,25,7,January,1,S153G,General_Mobile,320x405,Android
172677,15,2,1,34,1,Android,Du lịch,1,2014,2014-01-25,Saturday,25,7,January,1,S5,General_Mobile,480x243,Android
116258,15,2,1,34,1,Android,Du lịch,1,2014,2014-01-25,Saturday,25,7,January,1,SCH-i809,General_Mobile,320x508,Android
178624,15,2,1,34,1,Android,Du lịch,1,2014,2014-01-25,Saturday,25,7,January,1,SHV-E120K,General_Mobile,720x1280,Android
